иа	іа
ио	іо
ии	іи
ий	ій
ие	іе
иё	іё
иэ	іэ
иы	іы
иу	іу
ию	ію
ия	ія
Иа	Ӏа
Ио	Ӏо
Ии	Ӏи
Ий	Ӏй
Ие	Ӏе
Иё	Ӏё
Иэ	Ӏэ
Иы	Ӏы
Иу	Ӏу
Ию	Ӏю
Ия	Ӏя
ИА	ӀА
ИО	ӀО
ИИ	ӀИ
ИЙ	ӀЙ
ИЕ	ӀЕ
ИЁ	ӀЁ
ИЭ	ӀЭ
ИЫ	ӀЫ
ИУ	ӀУ
ИЮ	ӀЮ
ИЯ	ӀЯ
\bисс	из
\bвосс	воз
\bрасс	раз
\bбес\B	без
\bчрес	чрез
\bчерес	через
\bИсс	Изс
\bВосс	Возс
\bРасс	Разс
\bБес\B	Без
\bЧрес	Чрез
\bЧерес	Через
\bИСС	ИЗС
\bВОСС	ВОЗС
\bРАСС	РАЗС
\bБЕС\B	БЕЗ
\bЧРЕС	ЧРЕЗ
\bЧЕРЕС	ЧЕРЕЗ
б\b	бъ
в\b	въ
г\b	гъ
д\b	дъ
ж\b	жъ
з\b	зъ
к\b	къ
л\b	лъ
м\b	мъ
н\b	нъ
п\b	пъ
р\b	ръ
с\b	съ
т\b	тъ
ф\b	фъ
х\b	хъ
ц\b	цъ
ч\b	чъ
ш\b	шъ
щ\b	щъ
Б\b	БЪ
В\b	ВЪ
Г\b	ГЪ
Д\b	ДЪ
Ж\b	ЖЪ
З\b	ЗЪ
К\b	КЪ
Л\b	ЛЪ
М\b	МЪ
Н\b	НЪ
П\b	ПЪ
Р\b	РЪ
С\b	СЪ
Т\b	ТЪ
Ф\b	ФЪ
Х\b	ХЪ
Ц\b	ЦЪ
Ч\b	ЧЪ
Ш\b	ШЪ
Щ\b	ЩЪ
Анаф	Анаѳ
Акаф	Акаѳ
Апоф	Апоѳ
Ариф	Ариѳ
Диф	Диѳ
Ефим	Еѳим
Кафо	Каѳо
Кафедр	Каѳедр
Кафиз	Каѳиз
Кифар	Киѳар
Левиафан	Левіаѳанъ
Мараф	Мараѳ
Миф	Миѳ
Фели	Ѳели
Орфо	Орѳо
Пафо	Паѳо
Рифм	Риѳм
Эфи	Эѳи
Фим	Ѳим
Фита	Ѳита
анаф	анаѳ
акаф	акаѳ
апоф	апоѳ
ариф	ариѳ
диф	диѳ
ефим	еѳим
кафо	каѳо
кафедр	каѳедр
кафиз	каѳиз
кифар	киѳар
левиафан	левіаѳанъ
мараф	мараѳ
миф	миѳ
фели	ѳели
орфо	орѳо
пафо	паѳо
рифм	риѳм
эфи	эѳи
фим	ѳим
фита	ѳита
блед	блѣд
бег	бѣг
бед	бѣд
бел	бѣл
бес	бѣс
все	всѣ
вед	вѣд
веж	вѣж
век	вѣк
веник	вѣник
вене	вѣнѣ
вер	вѣр
вес	вѣс
вест	вѣст
вет	вѣт
две	двѣ
дел	дѣл
желез	жѣлѣз
зениц	зѣниц
клет	клѣт
лес	лѣс
леша	лѣша
леши	лѣши
мен	мѣн
немец	нѣмѣц
немц	нѣмц
обед	обѣд
обет	обѣт
редьк	рѣдьк
режет	рѣжѣт
рек	рѣк
ресни	рѣсни
решет	рѣшѣт
решёт	рѣшёт
север	сѣвѣр
сед	сѣд
сет	сѣт
тесн	тѣсн
хрен	хрѣн
цел	цѣл
Блед	Блѣд
Бег	Бѣг
Бед	Бѣд
Бел	Бѣл
Бес	Бѣс
Все	Всѣ
Вед	Вѣд
Веж	Вѣж
Век	Вѣк
Веник	Вѣник
Вене	Вѣнѣ
Вер	Вѣр
Вес	Вѣс
Вест	Вѣст
Вет	Вѣт
Две	Двѣ
Дел	Дѣл
Желез	Жѣлѣз
Зениц	Зѣниц
Клет	Клѣт
Лес	Лѣс
Леша	Лѣша
Леши	Лѣши
Мен	Мѣн
Немец	Нѣмѣц
Немц	Нѣмц
Обед	Обѣд
Обет	Обѣт
Редьк	Рѣдьк
Режет	Рѣжѣт
Рек	Рѣк
Ресни	Рѣсни
Решет	Рѣшѣт
Решёт	Рѣшёт
Север	Сѣвѣр
Сед	Сѣд
Сет	Сѣт
Тесн	Тѣсн
Хрен	Хрѣн
Цел	Цѣл
БЛЕД	БЛѢД
БЕГ	БѢГ
БЕД	БѢД
БЕЛ	БѢЛ
БЕС	БѢС
ВСЕ	ВСѢ
ВЕД	ВѢД
ВЕЖ	ВѢЖ
ВЕК	ВѢК
ВЕНИК	ВѢНИК
ВЕНЕ	ВѢНѢ
ВЕР	ВѢР
ВЕС	ВѢС
ВЕСТ	ВѢСТ
ВЕТ	ВѢТ
ДВЕ	ДВѢ
ДЕЛ	ДѢЛ
ЖЕЛЕЗ	ЖѢЛѢЗ
ЗЕНИЦ	ЗѢНИЦ
КЛЕТ	КЛѢТ
ЛЕС	ЛѢС
ЛЕША	ЛѢША
ЛЕШИ	ЛѢШИ
МЕН	МѢН
НЕМЕЦ	НѢМѢЦ
НЕМЦ	НѢМЦ
ОБЕД	ОБѢД
ОБЕТ	ОБѢТ
РЕДЬК	РѢДЬК
РЕЖЕТ	РѢЖѢТ
РЕК	РѢК
РЕСНИ	РѢСНИ
РЕШЕТ	РѢШѢТ
РЕШЁТ	РѢШЁТ
СЕВЕР	СѢВѢР
СЕД	СѢД
СЕТ	СѢТ
ТЕСН	ТѢСН
ХРЕН	ХРѢН
ЦЕЛ	ЦѢЛ
е\b	ѣ
Е\b	Ѣ
